name,identity,jobnum,email,tel,major,institute
教师0024,100000000000000024,22000024,22000024@xxx.xxx.xx,10000000024,日语,外国语言文学学院
教师0025,100000000000000025,22000025,22000025@xxx.xxx.xx,10000000025,翻译,外国语言文学学院
教师0026,100000000000000026,22000026,22000026@xxx.xxx.xx,10000000026,翻译,外国语言文学学院
教师0027,100000000000000027,22000027,22000027@xxx.xxx.xx,10000000027,朝鲜语,外国语言文学学院
教师0028,100000000000000028,22000028,22000028@xxx.xxx.xx,10000000028,朝鲜语,外国语言文学学院
教师0029,100000000000000029,22000029,22000029@xxx.xxx.xx,10000000029,西班牙语,外国语言文学学院
教师0030,100000000000000030,22000030,22000030@xxx.xxx.xx,10000000030,西班牙语,外国语言文学学院
教师0031,100000000000000031,22000031,22000031@xxx.xxx.xx,10000000031,新闻学,新闻学院
教师0032,100000000000000032,22000032,22000032@xxx.xxx.xx,10000000032,新闻学,新闻学院
教师0033,100000000000000033,22000033,22000033@xxx.xxx.xx,10000000033,广播电视学,新闻学院
教师0034,100000000000000034,22000034,22000034@xxx.xxx.xx,10000000034,广播电视学,新闻学院
教师0035,100000000000000035,22000035,22000035@xxx.xxx.xx,10000000035,广告学,新闻学院
教师0036,100000000000000036,22000036,22000036@xxx.xxx.xx,10000000036,广告学,新闻学院
教师0037,100000000000000037,22000037,22000037@xxx.xxx.xx,10000000037,传播学,新闻学院
教师0038,100000000000000038,22000038,22000038@xxx.xxx.xx,10000000038,传播学,新闻学院
教师0039,100000000000000039,22000039,22000039@xxx.xxx.xx,10000000039,经济学,经济学院
教师0040,100000000000000040,22000040,22000040@xxx.xxx.xx,10000000040,经济学,经济学院
教师0041,100000000000000041,22000041,22000041@xxx.xxx.xx,10000000041,国际经济与贸易,经济学院
教师0042,100000000000000042,22000042,22000042@xxx.xxx.xx,10000000042,国际经济与贸易,经济学院
教师0043,100000000000000043,22000043,22000043@xxx.xxx.xx,10000000043,数理经济,经济学院
教师0044,100000000000000044,22000044,22000044@xxx.xxx.xx,10000000044,数理经济,经济学院
教师0045,100000000000000045,22000045,22000045@xxx.xxx.xx,10000000045,财政学,经济学院
教师0046,100000000000000046,22000046,22000046@xxx.xxx.xx,10000000046,财政学,经济学院
教师0047,100000000000000047,22000047,22000047@xxx.xxx.xx,10000000047,金融学,经济学院
教师0048,100000000000000048,22000048,22000048@xxx.xxx.xx,10000000048,金融学,经济学院
教师0049,100000000000000049,22000049,22000049@xxx.xxx.xx,10000000049,保险学,经济学院
教师0050,100000000000000050,22000050,22000050@xxx.xxx.xx,10000000050,保险学,经济学院
教师0051,100000000000000051,22000051,22000051@xxx.xxx.xx,10000000051,法学,法学院
教师0052,100000000000000052,22000052,22000052@xxx.xxx.xx,10000000052,法学,法学院
教师0053,100000000000000053,22000053,22000053@xxx.xxx.xx,10000000053,管理科学,管理学院
教师0054,100000000000000054,22000054,22000054@xxx.xxx.xx,10000000054,管理科学,管理学院
教师0055,100000000000000055,22000055,22000055@xxx.xxx.xx,10000000055,电子商务,管理学院
教师0056,100000000000000056,22000056,22000056@xxx.xxx.xx,10000000056,电子商务,管理学院
教师0057,100000000000000057,22000057,22000057@xxx.xxx.xx,10000000057,工商管理,管理学院
教师0058,100000000000000058,22000058,22000058@xxx.xxx.xx,10000000058,工商管理,管理学院
教师0059,100000000000000059,22000059,22000059@xxx.xxx.xx,10000000059,市场营销,管理学院
教师0060,100000000000000060,22000060,22000060@xxx.xxx.xx,10000000060,市场营销,管理学院
教师0061,100000000000000061,22000061,22000061@xxx.xxx.xx,10000000061,财务管理,管理学院
教师0062,100000000000000062,22000062,22000062@xxx.xxx.xx,10000000062,财务管理,管理学院
教师0063,100000000000000063,22000063,22000063@xxx.xxx.xx,10000000063,会计学,管理学院
教师0064,100000000000000064,22000064,22000064@xxx.xxx.xx,10000000064,会计学,管理学院
教师0065,100000000000000065,22000065,22000065@xxx.xxx.xx,10000000065,统计学,管理学院
教师0066,100000000000000066,22000066,22000066@xxx.xxx.xx,10000000066,统计学,管理学院
教师0067,100000000000000067,22000067,22000067@xxx.xxx.xx,10000000067,预防医学,公共卫生学院
教师0068,100000000000000068,22000068,22000068@xxx.xxx.xx,10000000068,预防医学,公共卫生学院
教师0069,100000000000000069,22000069,22000069@xxx.xxx.xx,10000000069,公共事业管理,公共卫生学院
教师0070,100000000000000070,22000070,22000070@xxx.xxx.xx,10000000070,公共事业管理,公共卫生学院
教师0071,100000000000000071,22000071,22000071@xxx.xxx.xx,10000000071,马克思主义理论,马克思主义学院
教师0072,100000000000000072,22000072,22000072@xxx.xxx.xx,10000000072,马克思主义理论,马克思主义学院
教师0073,100000000000000073,22000073,22000073@xxx.xxx.xx,10000000073,数学与应用数学,数学科学学院
教师0074,100000000000000074,22000074,22000074@xxx.xxx.xx,10000000074,数学与应用数学,数学科学学院
教师0075,100000000000000075,22000075,22000075@xxx.xxx.xx,10000000075,信息与计算数学,数学科学学院
教师0076,100000000000000076,22000076,22000076@xxx.xxx.xx,10000000076,信息与计算数学,数学科学学院
教师0077,100000000000000077,22000077,22000077@xxx.xxx.xx,10000000077,生物科学,生命科学学院
教师0078,100000000000000078,22000078,22000078@xxx.xxx.xx,10000000078,生物科学,生命科学学院
教师0079,100000000000000079,22000079,22000079@xxx.xxx.xx,10000000079,生物技术,生命科学学院
教师0080,100000000000000080,22000080,22000080@xxx.xxx.xx,10000000080,生物技术,生命科学学院
教师0081,100000000000000081,22000081,22000081@xxx.xxx.xx,10000000081,生态学,生命科学学院
教师0082,100000000000000082,22000082,22000082@xxx.xxx.xx,10000000082,生态学,生命科学学院
